ORIGIN,DESTINATION,Container Size,Price,Free Days,Per Diem
Shanghai,"Edmonton, AB",20GP,$260,75,$5.00
Shanghai,Dunkerque,20GP,"$1,105",60,$5.00
Changsha,Aarhus,40HC,"$2,280",60,$10.00
Shanghai,Dublin,40GP,"$1,010",75,$10.00
Shanghai,Dublin,20GP,$390,100,$5.00
"Busan, Korea","Yekaterinburg, Sve",40HC,"$1,600",60,$10.00
"Busan, Korea",Vladivostok,40HC,"$1,500",60,$10.00
Shanghai,"Denver, CO",20GP,$415,60,$5.00
"Busan, Korea",Tianjin,40HC,$170,60,$10.00
Shanghai,"Dallas, TX",20GP,$235,75,$5.00
Shanghai,Copenhagen,40GP,$480,100,$10.00
"Busan, Korea",St Petersburg,40HC,"$2,240",60,$10.00
"Busan, Korea",Rotterdam,40HC,$390,60,$10.00
Shanghai,"Chicago, IL",20GP,$470,100,$5.00
"Busan, Korea",Novosibirsk,40HC,"$2,100",60,$10.00
